;naam;straatnaam;nummeraanduiding;postcode;plaatsnaam;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES
BevoegdGezag;Naam;Straatnaam;Adres;Adres;Adres;Adres;Adres;BevoegdGezag;BevoegdGezag;BevoegdGezag
95148;Stg. Deventer en Almelose M.s.;Koningin Wilhelminalaan;9;7415 KP;DEVENTER;150;DEVENTER;Algemeen bijzonder;570638580;www.dmsv.nl
95395;Stg. Instituut Van Kinsbergen;Paterijstraat;4;8081 TA;ELBURG;230;ELBURG;Algemeen bijzonder;525681295;www.vankinsbergenschool.nl
95421;Enschedese Schoolvereniging;Tichelweg;7;7523 AL;ENSCHEDE;153;ENSCHEDE;Algemeen bijzonder;534311000;www.esv-school.nl
95655;School Ver. Onderwijs Casimir;Groeneweg;27;2801 ZA;GOUDA;513;GOUDA;Algemeen bijzonder;182519706;www.casimirschool.nl
95681;Schoolvereniging Wolters;Utenbroekestraat;2;2597 PH;'S-GRAVENHAGE;518;S GRAVENHAGE;Algemeen bijzonder;703242630;www.basisschool-wolters.nl
95694;Stg. Haagsche Schoolvereenig.;Nassaulaan;26;2514 JT;'S-GRAVENHAGE;518;S GRAVENHAGE;Algemeen bijzonder;703184950;www.hsvdenhaag.nl
95746;Ver. Montessorisch. Waalsdorp;Utenbroekestraat;6;2597 PH;'S-GRAVENHAGE;518;S GRAVENHAGE;Algemeen bijzonder;703247420;www.waalsdorp.nl
95785;Stichting de Vrije School;Waalsdorperweg;12;2597 JB;'S-GRAVENHAGE;518;S GRAVENHAGE;Antroposofisch;703244300;www.devrijeschooldenhaag.nl
95954;De Haarlemse Montessorischool;Louise de Colignylaan;3;2012 SR;HAARLEM;392;HAARLEM;Algemeen bijzonder;235281624;                                                                                
95967;Stg. Paed. van Rudolf Steiner;Engelandlaan;2;2034 NA;HAARLEM;392;HAARLEM;Antroposofisch;235361378;                                                                                
96214;Stg. Neutr.Bijz.Onderw. Twente;Gerststraat;2;7552 DV;HENGELO OV;164;HENGELO;Algemeen bijzonder;742425405;www.hetheem.net
96266;Hilversumse Schoolvereniging;Frans Halslaan;70;1213 BM;HILVERSUM;402;HILVERSUM;Algemeen bijzonder;356245076;www.hsv1909.nl
96292;Godelinde Schoolvereniging;Mozartlaan;6;1217 CN;HILVERSUM;402;HILVERSUM;Algemeen bijzonder;356242220;www.godelindeschoolhilversum.nl
96409;Ver De Flevoschool te Huizen;Bovenlangewijnseweg;4;1272 BX;HUIZEN;406;HUIZEN;Algemeen bijzonder;355253410;www.flevoschool.nl
96617;Eerste Leidse Schoolvereniging;P.C. Hooftlaan;12;2332 AX;LEIDEN;546;LEIDEN;Algemeen bijzonder;715166600;www.eersteleidseschool.nl
96864;Ver. Basisond. te Nij Beets;Gietersewei;4;9245 HK;NIJ BEETS;86;OPSTERLAND;Protestants-Christelijk;512461830;www.arke-nijbeets.nl
