PRODUKT_CODE;B_DAT_PRODUKT;PROD_COMP_CODE;B_DAT_PROD_COMP;E_DAT_PROD_COMP;SOORT_PROD_COMP;KOST_PL_E_COMP;KOST_PL_H_COMP;GB_NR_PROD_COMP;BEDR_PROD_COMP;BTW_C_PROD_COMP;BTW_P_PROD_COMP;MUT_DAT_PR_COMP;AMBT_CODE_MUT;TYD_STEMPEL
011;20100101;2;20100101;20121231;K;3010;1291;63099999;1.00;;0.00;20121211;SAP;3564320413
011;20090508;1;20090508;20091231;O;3010;1291;83021020;37.00;;0.00;20091030;SAP;3465997303
011;20090508;2;20090508;20091231;K;3010;1291;63099999;1.00;;0.00;20091030;SAP;3465997303
011;20090205;1;20090205;20090507;O;3010;1291;83021210;37.00;;0.00;20090204;SAP;3450790904
011;20090205;2;20090205;20090507;K;3010;1291;63099999;1.00;;0.00;20090204;SAP;3450790904
011;20050527;1;20050527;20090204;O;3010;1291;83021210;37.00;;0.00;20050526;SAP;3442842114
011;20050527;2;20050527;20090204;K;3010;1291;63099999;1.00;;0.00;20050526;SAP;3442842114
011;20040422;1;20040422;20050526;O;3010;1291;83021210;37.00;;0.00;20040421;RAP;3326196069
011;20040422;2;20040422;20050526;K;3010;1141;63099999;1.00;;0.00;20040421;RAP;3326196069
011;20040101;1;20040101;20040421;O;3010;1291;83021210;37.00;;0.00;20031029;RAP;3276498765
011;20040101;2;20040101;20040421;K;3010;1141;63099999;1.00;;0.00;20031029;RAP;3276498765
011;20030101;1;20030101;20031231;O;3010;1291;83021210;33.25;;0.00;20021126;RAP;3247374430
011;20030101;2;20030101;20031231;K;3010;1141;63099999;1.00;;0.00;20021126;RAP;3247374430
011;20020101;1;20020101;20021231;O;3010;1291;83021210;31.75;;0.00;20011212;RAP;3217242703
011;20020101;2;20020101;20021231;K;3010;1141;63099999;1.00;;0.00;20011212;RAP;3217242703
011;20010201;1;20010201;20011231;O;3250;1291;83021210;70.00;;0.00;20011031;RAP;3213621518
011;20010201;2;20010201;20011231;K;3250;1141;63099999;1.00;;0.00;20011031;RAP;3213621518
011;19961002;1;19961002;20010131;O;3250;29;83021210;93.25;;0.00;19961001;RAP;3053247889
011;19961002;2;19961002;20010131;K;3250;14;63021210;1.00;;0.00;19961001;RAP;3053247889
011;19960101;1;19960101;19961001;O;3250;29;83021210;93.25;;0.00;19960926;RAP;3052821222
011;19960101;2;19960101;19961001;K;6210;14;63021210;1.00;;0.00;19960926;RAP;3052821222
012;20130104;1;20130104;99999999;O;4700;1111;82150030;38.00;;0.00;20130103;SAP;3566307617
012;20130104;2;20130104;99999999;K;4700;1111;62099999;1.00;;0.00;20130103;SAP;3566307617
012;20130101;1;20130101;20130103;O;2040;1111;82150030;38.00;;0.00;20121231;SAP;3566307617
012;20130101;2;20130101;20130103;K;2040;1111;62099999;1.00;;0.00;20121231;SAP;3566307617
012;20120207;1;20120207;20121231;O;2040;1111;82150030;37.50;;0.00;20121211;SAP;3564320413
012;20120207;2;20120207;20121231;K;2040;1111;62099999;1.00;;0.00;20121211;SAP;3564320413
012;20070508;1;20070508;20120206;O;2040;1111;82150030;37.50;;0.00;20070507;SAP;3537622824
012;20070508;2;20070508;20120206;K;2040;1111;62099999;1.00;;0.00;20070507;SAP;3537622824
012;20000101;1;20000101;20030331;O;6210;1141;82110100;0.00;;0.00;20010616;RAP;3201759078
012;20000101;2;20000101;20030331;K;6210;1141;62099999;0.00;;0.00;20010616;RAP;3201759078
012;19990501;1;19990501;19991231;O;6210;14;82110100;0.00;;0.00;20010616;RAP;3201759078
012;19990501;2;19990501;19991231;K;6210;14;62110100;0.00;;0.00;20010616;RAP;3201759078
012;19990101;1;19990101;19990430;O;6210;14;82110100;70.00;;0.00;19981023;RAP;3118222048
012;19990101;2;19990101;19990430;K;6210;14;62110100;1.00;;0.00;19981023;RAP;3118222048
0122;20000101;1;20000101;20031231;O;6210;1141;82181000;0.00;;0.00;20010616;RAP;3201759079
0122;20000101;2;20000101;20031231;K;6210;1141;62099999;0.00;;0.00;20010616;RAP;3201759079
0122;19990724;1;19990724;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759079
0122;19990724;2;19990724;19991231;K;6210;14;62181000;0.00;;0.00;20010616;RAP;3201759079
0122;19990701;1;19990701;19990723;O;6210;14;82181000;70.00;;0.00;19990625;RAP;3139402345
0122;19990701;2;19990701;19990723;K;6210;14;62181000;1.00;;0.00;19990625;RAP;3139402345
0123;20000101;1;20000101;20031231;O;6210;1141;82181000;0.00;;0.00;20010616;RAP;3201759079
0123;20000101;2;20000101;20031231;K;6210;1141;62099999;0.00;;0.00;20010616;RAP;3201759079
0123;19990724;1;19990724;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759079
0123;19990724;2;19990724;19991231;K;6210;14;62181000;0.00;;0.00;20010616;RAP;3201759079
0123;19990701;1;19990701;19990723;O;6210;14;82181000;70.00;;0.00;19990625;RAP;3139402473
0123;19990701;2;19990701;19990723;K;6210;14;62181000;1.00;;0.00;19990625;RAP;3139402473
0124;20000101;1;20000101;20031231;O;6210;1141;82181000;0.00;;0.00;20010616;RAP;3201759079
0124;20000101;2;20000101;20031231;K;6210;1141;62099999;0.00;;0.00;20010616;RAP;3201759079
0124;19990724;1;19990724;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759079
0124;19990724;2;19990724;19991231;K;6210;14;62181000;0.00;;0.00;20010616;RAP;3201759079
0124;19990701;1;19990701;19990723;O;6210;14;82181000;70.00;;0.00;19990625;RAP;3139402643
